team_name,player_name,tourname,team_name_region,tour_name_region
Ajax,Antony,Dutch Super Cup,Netherlands,Netherlands
Ajax,Antony,Eredivisie,Netherlands,Netherlands
Ajax,Antony,KNVB Cup,Netherlands,Netherlands
Argentina,Alexis Mac Allister,Int. Friendly,Argentina,International
Argentina,Emiliano Martínez,Copa America,Argentina,International
Argentina,Emiliano Martínez,Int. Friendly,Argentina,International
Argentina U23,Alexis Mac Allister,Summer Olympics Qualifiers,Argentina,International
Arsenal,Gabriel Jesus,Club Friendlies,England,International
Arsenal,Gabriel Jesus,Europa League,England,Europe
Arsenal,Gabriel Jesus,Premier League,England,England
Arsenal,Gabriel Martinelli,Club Friendlies,England,International
Arsenal,Gabriel Martinelli,Europa League,England,Europe
Arsenal,Gabriel Martinelli,Premier League,England,England
Aston Villa,Ashley Young,Club Friendlies,England,International
Aston Villa,Ashley Young,League Cup,England,England
Aston Villa,Ashley Young,Premier League,England,England
Aston Villa,Emiliano Martínez,Club Friendlies,England,International
Aston Villa,Emiliano Martínez,League Cup,England,England
Aston Villa,Emiliano Martínez,Premier League,England,England
Belgium,Kevin De Bruyne,European Championship,Belgium,International
Belgium,Kevin De Bruyne,UEFA Nations League A,Belgium,International
Belgium,Kevin De Bruyne,World Cup Qualification UEFA,Belgium,International
Belgium,Leandro Trossard,European Championship,Belgium,International
Belgium,Leandro Trossard,Int. Friendly,Belgium,International
Belgium,Leandro Trossard,UEFA Nations League A,Belgium,International
Belgium,Leandro Trossard,World Cup Qualification UEFA,Belgium,International
Belgium,Youri Tielemans,European Championship,Belgium,International
Belgium,Youri Tielemans,Int. Friendly,Belgium,International
Belgium,Youri Tielemans,UEFA Nations League A,Belgium,International
Belgium,Youri Tielemans,World Cup Qualification UEFA,Belgium,International
Borussia Dortmund,Erling Haaland,Club Friendlies,Germany,International
Bournemouth,Lloyd Kelly,Premier League,England,England
Bournemouth,Neto,League Cup,England,England
Bournemouth,Neto,Premier League,England,England
Brazil,Antony,Int. Friendly,Brazil,International
Brazil,Gabriel Jesus,Copa America,Brazil,International
Brazil,Gabriel Jesus,Int. Friendly,Brazil,International
Brazil,Gabriel Martinelli,Int. Friendly,Brazil,International
Brazil,Roberto Firmino,Copa America,Brazil,International
Brazil,Thiago Silva,Copa America,Brazil,International
Brazil,Thiago Silva,Int. Friendly,Brazil,International
Brazil U23,Antony,Summer Olympics Qualifiers,Brazil,International
Brazil U23,Gabriel Martinelli,Summer Olympics Qualifiers,Brazil,International
Brentford,Christian Nørgaard,Premier League,England,England
Brentford,Ivan Toney,League Cup,England,England
Brentford,Ivan Toney,Premier League,England,England
Brighton,Alexis Mac Allister,Premier League,England,England
Brighton,Leandro Trossard,Premier League,England,England
Chelsea,Reece James,Champions League,England,Europe
Chelsea,Reece James,Club Friendlies,England,International
Chelsea,Reece James,Premier League,England,England
Chelsea,Thiago Silva,Champions League,England,Europe
Chelsea,Thiago Silva,Club Friendlies,England,International
Chelsea,Thiago Silva,FIFA Club World Cup,England,International
Chelsea,Thiago Silva,Premier League,England,England
Colombia,Luis Díaz,Copa America,Colombia,International
Crystal Palace,Joachim Andersen,Club Friendlies,England,International
Crystal Palace,Joachim Andersen,Premier League,England,England
Crystal Palace,Wilfried Zaha,Premier League,England,England
Czech Republic,Tomás Soucek,European Championship,Czech Republic,International
Czech Republic,Tomás Soucek,Int. Friendly,Czech Republic,International
Czech Republic,Tomás Soucek,UEFA Nations League A,Czech Republic,International
Czech Republic,Tomás Soucek,World Cup Qualification UEFA,Czech Republic,International
Denmark,Christian Nørgaard,European Championship,Denmark,International
Denmark,Christian Nørgaard,Int. Friendly,Denmark,International
Denmark,Christian Nørgaard,World Cup Qualification UEFA,Denmark,International
Denmark,Joachim Andersen,European Championship,Denmark,International
Denmark,Joachim Andersen,Int. Friendly,Denmark,International
Denmark,Joachim Andersen,UEFA Nations League A,Denmark,International
Denmark,Joachim Andersen,World Cup Qualification UEFA,Denmark,International
Denmark,Pierre-Emile Højbjerg,European Championship,Denmark,International
Denmark,Pierre-Emile Højbjerg,Int. Friendly,Denmark,International
Denmark,Pierre-Emile Højbjerg,UEFA Nations League A,Denmark,International
Denmark,Pierre-Emile Højbjerg,World Cup Qualification UEFA,Denmark,International
England,Declan Rice,European Championship,England,International
England,Declan Rice,Int. Friendly,England,International
England,Declan Rice,UEFA Nations League A,England,International
England,Declan Rice,World Cup Qualification UEFA,England,International
England,Harry Kane,European Championship,England,International
England,Harry Kane,Int. Friendly,England,International
England,Harry Kane,UEFA Nations League A,England,International
England,Harry Kane,World Cup Qualification UEFA,England,International
England,James Ward-Prowse,Int. Friendly,England,International
England,James Ward-Prowse,UEFA Nations League A,England,International
England,James Ward-Prowse,World Cup Qualification UEFA,England,International
England,Jordan Pickford,European Championship,England,International
England,Jordan Pickford,Int. Friendly,England,International
England,Jordan Pickford,UEFA Nations League A,England,International
England,Jordan Pickford,World Cup Qualification UEFA,England,International
England,Reece James,European Championship,England,International
England,Reece James,UEFA Nations League A,England,International
England,Reece James,World Cup Qualification UEFA,England,International
Everton,Asmir Begovic,League Cup,England,England
Everton,Asmir Begovic,Premier League,England,England
Everton,Jordan Pickford,Club Friendlies,England,International
Everton,Jordan Pickford,Premier League,England,England
France,Anthony Martial,World Cup Qualification UEFA,France,International
Fulham,Aleksandar Mitrovic,Premier League,England,England
Fulham,João Palhinha,Premier League,England,England
Germany,Armel Bella-Kotchap,UEFA Nations League A,Germany,International
Ivory Coast,Wilfried Zaha,Africa Cup of Nations,Ivory Coast,International
Ivory Coast,Wilfried Zaha,Int. Friendly,Ivory Coast,International
Leeds,Jack Harrison,Club Friendlies,England,International
Leeds,Jack Harrison,Premier League,England,England
Leeds,Pascal Struijk,Club Friendlies,England,International
Leeds,Pascal Struijk,League Cup,England,England
Leeds,Pascal Struijk,Premier League,England,England
Leicester,James Maddison,Club Friendlies,England,International
Leicester,James Maddison,League Cup,England,England
Leicester,James Maddison,Premier League,England,England
Leicester,Youri Tielemans,Club Friendlies,England,International
Leicester,Youri Tielemans,League Cup,England,England
Leicester,Youri Tielemans,Premier League,England,England
Liverpool,Luis Díaz,Champions League,England,Europe
Liverpool,Luis Díaz,Club Friendlies,England,International
Liverpool,Luis Díaz,Community Shield,England,England
Liverpool,Luis Díaz,Premier League,England,England
Liverpool,Roberto Firmino,Champions League,England,Europe
Liverpool,Roberto Firmino,Club Friendlies,England,International
Liverpool,Roberto Firmino,Community Shield,England,England
Liverpool,Roberto Firmino,Premier League,England,England
Man City,Erling Haaland,Champions League,England,Europe
Man City,Erling Haaland,Club Friendlies,England,International
Man City,Erling Haaland,Community Shield,England,England
Man City,Erling Haaland,Premier League,England,England
Man City,Kevin De Bruyne,Champions League,England,Europe
Man City,Kevin De Bruyne,Club Friendlies,England,International
Man City,Kevin De Bruyne,Community Shield,England,England
Man City,Kevin De Bruyne,Premier League,England,England
Man Utd,Anthony Martial,Club Friendlies,England,International
Man Utd,Anthony Martial,Europa League,England,Europe
Man Utd,Anthony Martial,Premier League,England,England
Man Utd,Antony,Europa League,England,Europe
Man Utd,Antony,Premier League,England,England
Newcastle,Allan Saint-Maximin,Premier League,England,England
Newcastle,Joelinton,League Cup,England,England
Newcastle,Joelinton,Premier League,England,England
Norway,Erling Haaland,Int. Friendly,Norway,International
Norway,Erling Haaland,UEFA Nations League B,Norway,International
Norway,Erling Haaland,World Cup Qualification UEFA,Norway,International
Nottingham Forest,Moussa Niakhaté,Premier League,England,England
Nottingham Forest,Neco Williams,Premier League,England,England
Porto,Luis Díaz,Taça de Portugal,Portugal,Portugal
Portugal,João Palhinha,European Championship,Portugal,International
Portugal,João Palhinha,UEFA Nations League A,Portugal,International
Portugal,João Palhinha,World Cup Qualification UEFA,Portugal,International
Portugal,Rúben Neves,European Championship,Portugal,International
Portugal,Rúben Neves,UEFA Nations League A,Portugal,International
Portugal,Rúben Neves,World Cup Qualification UEFA,Portugal,International
Serbia,Aleksandar Mitrovic,Int. Friendly,Serbia,International
Serbia,Aleksandar Mitrovic,UEFA Nations League B,Serbia,International
Serbia,Aleksandar Mitrovic,World Cup Qualification UEFA,Serbia,International
Southampton,Armel Bella-Kotchap,Premier League,England,England
Southampton,James Ward-Prowse,Premier League,England,England
Sporting,João Palhinha,Taça da Liga,Portugal,Portugal
Sporting,João Palhinha,Taça de Portugal,Portugal,Portugal
Tottenham,Harry Kane,Champions League,England,Europe
Tottenham,Harry Kane,Club Friendlies,England,International
Tottenham,Harry Kane,Premier League,England,England
Tottenham,Pierre-Emile Højbjerg,Champions League,England,Europe
Tottenham,Pierre-Emile Højbjerg,Club Friendlies,England,International
Tottenham,Pierre-Emile Højbjerg,Premier League,England,England
Wales,Neco Williams,European Championship,Wales,International
Wales,Neco Williams,UEFA Nations League A,Wales,International
Wales,Neco Williams,World Cup Qualification UEFA,Wales,International
West Ham,Declan Rice,Conference League,England,Europe
West Ham,Declan Rice,Premier League,England,England
West Ham,Tomás Soucek,Conference League,England,Europe
West Ham,Tomás Soucek,Premier League,England,England
Wolves,José Sá,Premier League,England,England
Wolves,Rúben Neves,League Cup,England,England
Wolves,Rúben Neves,Premier League,England,England
